id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
11,"Bob Clark","ESG, Marxism under a different name.","UgyTgbyB8mfg_gQsz_54AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyTgbyB8mfg_gQsz_54AaABAg","2021-10-31 18:02:25",0,"ESG, Marxism under a different name.","http://www.youtube.com/channel/UCzn1FjWpUIIJDZ4CYAHfJ_w",
12,"Cory Buba","I invested in oil companies last summer during the pandemic. No complaints about my returns!","UgyXnlhwEwCVmunvJW14AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyXnlhwEwCVmunvJW14AaABAg","2021-10-31 14:56:59",0,"I invested in oil companies last summer during the pandemic. No complaints about my returns!","http://www.youtube.com/channel/UCB7-vzrgixtAS7kYjwtaizw",
13,"Guyver Francis","Esg is just another green washing. Most companies know this. The companies that actually do implement it fully Like.johN Lewis PG ETC. GILETTE are doomed and too dumb","UgxxdcWQOFGqOlXRhC14AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxxdcWQOFGqOlXRhC14AaABAg","2021-10-31 13:00:06",0,"Esg is just another green washing. Most companies know this. The companies that actually do implement it fully Like.johN Lewis PG ETC. GILETTE are doomed and too dumb","http://www.youtube.com/channel/UCrehKt3l3jpX6FTBXdobJPg",
14,"Shinya Novikov","I went shopping to Eatons Center in Downtown Toronto. I seen a line up at only two stores, the Apple Store and ""Black Owned Toronto."" Guess what the second one had the longer line up.","Ugz93tnLSkUa9zpoxHV4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugz93tnLSkUa9zpoxHV4AaABAg","2021-10-31 10:17:59",0,"I went shopping to Eatons Center in Downtown Toronto. I seen a line up at only two stores, the Apple Store and ""Black Owned Toronto."" Guess what the second one had the longer line up.","http://www.youtube.com/channel/UCYZxWq2zwJY7ngt9iOslxDg",
15,"Amar Ortal","somebody should tell Schwab, that in that case he should donate all of his profits to benefit society, stop flying on his private jet or leaving a huge carbon footprint by leaving in his multiple mansions and owning his multiple cars, etc.... the hypocrisy of these ppl(the entitled,rich, deranged, perverse, multi billionaire control freaks) is beyond insulting it\'s enraging !!!","UgxRXGtv4MaZitmYSVt4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxRXGtv4MaZitmYSVt4AaABAg","2021-10-31 06:14:00",0,"somebody should tell Schwab, that in that case he should donate all of his profits to benefit society, stop flying on his private jet or leaving a huge carbon footprint by leaving in his multiple mansions and owning his multiple cars, etc.... the hypocrisy of these ppl(the entitled,rich, deranged, perverse, multi billionaire control freaks) is beyond insulting it\'s enraging !!!","http://www.youtube.com/channel/UC078-Ry2Cqyxi9QiT5VbX-w",
16,"James Byrne","Let me is more complex than profits. Sorry but as a species we need to stop this gordon ghekko crap. Corporation dodge taxes constantly so let\'s shut up about profits being a social good.","Ugzh27KacYZqzJiV1OV4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzh27KacYZqzJiV1OV4AaABAg","2021-10-30 16:36:11",0,"Let me is more complex than profits. Sorry but as a species we need to stop this gordon ghekko crap. Corporation dodge taxes constantly so let\'s shut up about profits being a social good.","http://www.youtube.com/channel/UCVUV6fYhLoqPvw4Mg6aQe3g",
17,"James Byrne","You\'re definition of ESG is bull shit","UgxYkFdv6IFU0z9OBgV4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxYkFdv6IFU0z9OBgV4AaABAg","2021-10-30 16:32:04",0,"You\'re definition of ESG is bull shit","http://www.youtube.com/channel/UCVUV6fYhLoqPvw4Mg6aQe3g",
18,"Aegis of the Republic","ESG is anti-capitalism making a profit by selling itself in a capitalist system by exploiting the ignorance and obtuseness of a generation.","Ugz2Fh-DbJvMZMOCOs14AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugz2Fh-DbJvMZMOCOs14AaABAg","2021-10-30 15:31:06",0,"ESG is anti-capitalism making a profit by selling itself in a capitalist system by exploiting the ignorance and obtuseness of a generation.","http://www.youtube.com/channel/UCpf5Tww-zWXsgoFBpRSo92g",
19,"David Johnson","Adam Smith considered the father of capitalism said capitalsm would be driven by fear and greed. Is there some reason to not temper that so?","Ugw8T3dxSj8Q7YtXJ2d4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugw8T3dxSj8Q7YtXJ2d4AaABAg","2021-10-30 11:09:46",0,"Adam Smith considered the father of capitalism said capitalsm would be driven by fear and greed. Is there some reason to not temper that so?","http://www.youtube.com/channel/UCisNMngjmB5pAQu7HPoRgXA",
20,"Rock Bailey","What kind dipsh*t does it take to say something as stupid as we can no longer be motivated by short term profit ? I guess the enlightened elite will be just as happy to turn over their earnings when the political officers come to take their McMansion. What complete nimrods.","UgxTiRuM6Y5BPkyovJt4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxTiRuM6Y5BPkyovJt4AaABAg","2021-10-30 10:49:29",0,"What kind dipsh*t does it take to say something as stupid as we can no longer be motivated by short term profit ? I guess the enlightened elite will be just as happy to turn over their earnings when the political officers come to take their McMansion. What complete nimrods.","http://www.youtube.com/channel/UCBTkEt6j8BgutnkiRsTnLgQ",
21,"James Burke","who tf voted for the woke socialist nazis???!!","UgyE6c1Gx5Z0EIfrhJh4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyE6c1Gx5Z0EIfrhJh4AaABAg","2021-10-30 04:28:33",0,"who tf voted for the woke socialist nazis???!!","http://www.youtube.com/channel/UC2MNvHhZq8IFOR8-HonSsQQ",
22,"Ron W Loutzenhiser","Basically correct, I agree about ESG\'s  HOWEVER, uncontrolled capitalism controls or closes small businesses; shifts production AND JOBS to nations with cheaper costs of living thus causing welfare, crime, standard of living problems here; ETC. Capitalism is basically good; however, it has its faults and needs some control. Look at the USA with everything either produced in China or foreign American factories. Look at the millionaires and billionaires that game our systems and control our legislators while they pay a very low percent - if any - of their income to taxes. Why do you think there are offshore banks and investments or business headquarters in low tax countries?","UgyUKDYH-ubJDAJ-yjp4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyUKDYH-ubJDAJ-yjp4AaABAg","2021-10-30 02:07:12",0,"Basically correct, I agree about ESG\'s  HOWEVER, uncontrolled capitalism controls or closes small businesses; shifts production AND JOBS to nations with cheaper costs of living thus causing welfare, crime, standard of living problems here; ETC. Capitalism is basically good; however, it has its faults and needs some control. Look at the USA with everything either produced in China or foreign American factories. Look at the millionaires and billionaires that game our systems and control our legislators while they pay a very low percent - if any - of their income to taxes. Why do you think there are offshore banks and investments or business headquarters in low tax countries?","http://www.youtube.com/channel/UCiJnGE5RnzvX7Jfr818BZTw",
23,"Xavier Lara","Let\'s go Brandon. No marxism !","UgzsgjU-sxvIk45QYJp4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzsgjU-sxvIk45QYJp4AaABAg","2021-10-29 23:09:16",0,"Let\'s go Brandon. No marxism !","http://www.youtube.com/channel/UCugFFPsWql1p40GEjzO-qSQ",
24,"Sergio Perez","I can’t believe we have to explain the concept of making something, getting compensation for your hard and saving your money to live on later to all these these SJW groups 🤦🏻‍♂️","UgyQa7XjyEcmHRUVD5V4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyQa7XjyEcmHRUVD5V4AaABAg","2021-10-29 14:10:53",0,"I can’t believe we have to explain the concept of making something, getting compensation for your hard and saving your money to live on later to all these these SJW groups 🤦🏻‍♂️","http://www.youtube.com/channel/UCR54JBymzCzG2RFUGnAkUkQ",
25,"J. A.","This leftist doublespeak is past the sell date. get them our now. thanks for the video","Ugy2y5ooftelkuCouj14AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugy2y5ooftelkuCouj14AaABAg","2021-10-29 11:50:43",0,"This leftist doublespeak is past the sell date. get them our now. thanks for the video","http://www.youtube.com/channel/UCBy_pYATVIghMZZI15H9Y9Q",
26,"Warrior Link","4:37 I would expand on this by saying that the companies preaching ESG are normally big corporations at the top of their industry\'s food chain. They had to focus on profit to get where they are, but now they are enlightened and focus on ESG, and shame their competitors who focus on profit. That works out for the big corporation, because then competitors won\'t be able to focus on profit and beat them out while getting shamed by their industry. It is a new ""barrier to entry"", and it\'s one that requires considerable control over media, social media and government. It\'s pretty scary actually, and turns us more into an oligarchy or corportacrasy and gets us away from constitutional republic.","Ugzf6kxFHgrTzhl8CD94AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzf6kxFHgrTzhl8CD94AaABAg","2021-10-29 09:54:57",0,"4:37 I would expand on this by saying that the companies preaching ESG are normally big corporations at the top of their industry\'s food chain. They had to focus on profit to get where they are, but now they are enlightened and focus on ESG, and shame their competitors who focus on profit. That works out for the big corporation, because then competitors won\'t be able to focus on profit and beat them out while getting shamed by their industry. It is a new ""barrier to entry"", and it\'s one that requires considerable control over media, social media and government. It\'s pretty scary actually, and turns us more into an oligarchy or corportacrasy and gets us away from constitutional republic.","http://www.youtube.com/channel/UCSAHcw-JxrcuqgQLolfDgUA",
27,"Jose Trujillo","I think it would\'ve been good to remind people that the pursuit of profit fails when the Government not only fails to prevent predatory practices (such as underselling at a loss to run competition out of the market), but gets in bed with these guilty billionaires to perpetuate their monopolies and give them the economic power to push these ESGs off the backs of the taxpayer. Without that it is very easy for people to look at Amazon and say ""how is Capitalism working there?"" while Amazon does things like arbitrarily kicking Parler off its servers for political reasons.","UgzPu3Z1DFGNBC5RqVx4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzPu3Z1DFGNBC5RqVx4AaABAg","2021-10-28 21:57:43",0,"I think it would\'ve been good to remind people that the pursuit of profit fails when the Government not only fails to prevent predatory practices (such as underselling at a loss to run competition out of the market), but gets in bed with these guilty billionaires to perpetuate their monopolies and give them the economic power to push these ESGs off the backs of the taxpayer. Without that it is very easy for people to look at Amazon and say ""how is Capitalism working there?"" while Amazon does things like arbitrarily kicking Parler off its servers for political reasons.","http://www.youtube.com/channel/UC0Ltf5EiNhO2lYdTBkSB8nA",
28,"Carlos Salcido","Key word ""short term profit"" like skimping on regulation for a short term profit for a problem that will cost more later down the road. So long term profit. Like investing in the environment because you cant make a profit without a consumer base that has been displaced or is no longer there.","UgzMSlKKfIG-YmPxVGl4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzMSlKKfIG-YmPxVGl4AaABAg","2021-10-28 20:55:56",0,"Key word ""short term profit"" like skimping on regulation for a short term profit for a problem that will cost more later down the road. So long term profit. Like investing in the environment because you cant make a profit without a consumer base that has been displaced or is no longer there.","http://www.youtube.com/channel/UCwud4uZqq4F9BfJTkDSHTzg",
29,"Carlos Lopez","In plain terms ESG is Full Of Crap.","UgxULj22Hkp0R3jQIoN4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxULj22Hkp0R3jQIoN4AaABAg","2021-10-28 20:03:53",0,"In plain terms ESG is Full Of Crap.","http://www.youtube.com/channel/UCLVHP9qei0n1LNd5rnY1uLg",
30,"Nihithetic","ESG is wrong but so is lusting after infinite profit. There needs to be a happy medium where were not forsaking everything in the name of profit but were also not going broke an attempt to right every wrong.","UgwF1eX8U0OqRgGKtKZ4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwF1eX8U0OqRgGKtKZ4AaABAg","2021-10-28 13:30:07",0,"ESG is wrong but so is lusting after infinite profit. There needs to be a happy medium where were not forsaking everything in the name of profit but were also not going broke an attempt to right every wrong.","http://www.youtube.com/channel/UCEaIXLtMsCwEaBIAqQ4tZLQ",
31,"No Bozos","Electricity was provided to the world for profit before anyone even knew what it was. Think about it.","Ugxi797zTbGv0zX00VJ4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugxi797zTbGv0zX00VJ4AaABAg","2021-10-28 12:35:55",0,"Electricity was provided to the world for profit before anyone even knew what it was. Think about it.","http://www.youtube.com/channel/UCuMVEJoi040c5UlP2vO_7KA",
32,"eham","Thanks for the knowledge!","UgzqO1u2IoeieSv8a7R4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzqO1u2IoeieSv8a7R4AaABAg","2021-10-28 12:29:48",0,"Thanks for the knowledge!","http://www.youtube.com/channel/UCioRkFCZ5NPvYoENz-EthhA",
33,"Gipper Kay Devane","EVERYTHING WOKE TRUNS TO SHIT.","Ugx1V1yo46wmuA4YCpx4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugx1V1yo46wmuA4YCpx4AaABAg","2021-10-28 11:44:07",0,"EVERYTHING WOKE TRUNS TO SHIT.","http://www.youtube.com/channel/UC2EML4AnBydAFzepbYNJ1JA",
34,"Brisbane Kilarny","I did not know anything about ESG until I watched this video. It is an attempt to make everyone equally miserable. Progressives are irrational and illogical beings that have the brain power of a 1 volt battery.","UgzwkPLWGz9uMhmlTsd4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzwkPLWGz9uMhmlTsd4AaABAg","2021-10-28 11:10:21",0,"I did not know anything about ESG until I watched this video. It is an attempt to make everyone equally miserable. Progressives are irrational and illogical beings that have the brain power of a 1 volt battery.","http://www.youtube.com/channel/UCABwwUtYCn6KMv-cPbozrww",
35,"Aquarian Dawn","I\'m not against the pursuit of profit, I\'d just prefer it\'s not a profit margin like big pharma is making off of the customers deathly dependant upon their products.","UgwUTEsAQmX3qX3JmlN4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwUTEsAQmX3qX3JmlN4AaABAg","2021-10-28 07:16:05",0,"I\'m not against the pursuit of profit, I\'d just prefer it\'s not a profit margin like big pharma is making off of the customers deathly dependant upon their products.","http://www.youtube.com/channel/UCItJuWr-x8lHnMtRabRsHpg",
36,"Silent Night","A technocrat\'s wet dream. Honestly f that guy.","Ugym3hPWRa0sq2bqP9F4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugym3hPWRa0sq2bqP9F4AaABAg","2021-10-28 03:24:34",0,"A technocrat\'s wet dream. Honestly f that guy.","http://www.youtube.com/channel/UC7muKj09no0DK2l_Bpxo-ag",
37,"ThePatriot","If people get over this morbid fear that they may be shamed, it will end this woke nonsense.","Ugw9ez_6xyL0R3VwWJh4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugw9ez_6xyL0R3VwWJh4AaABAg","2021-10-28 00:27:30",0,"If people get over this morbid fear that they may be shamed, it will end this woke nonsense.","http://www.youtube.com/channel/UCNEvZ4XU58bekPDel0l0Dyg",
38,"tiberiuswise","Look at Dodge v Ford Motor Co. The court ruled in favor of the Dodge brothers and ordered Henry Ford to focus on profit.","Ugy4bW4yFCwpI4UUf5F4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugy4bW4yFCwpI4UUf5F4AaABAg","2021-10-27 17:46:55",0,"Look at Dodge v Ford Motor Co. The court ruled in favor of the Dodge brothers and ordered Henry Ford to focus on profit.","http://www.youtube.com/channel/UCrDKY0Lkggr55f5rFN2oIEA",
39,"John Lavery","The grocery stores we take for granted are pure capitalism. We are on the verge of losing them forever. Stop the big lie. Stop Marxism.","Ugx34Mlo38bEiOLIWCd4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugx34Mlo38bEiOLIWCd4AaABAg","2021-10-27 16:42:16",0,"The grocery stores we take for granted are pure capitalism. We are on the verge of losing them forever. Stop the big lie. Stop Marxism.","http://www.youtube.com/channel/UCWr53FN0yZZx_688GjFSxDw",
40,"Halfcentury111","10000% agree Andy - well said!! The only one who profits from this is the consultant who dreamed up this asinine idea in the first place, and the people who market it...","UgyhZz-ltbIyCcsm8E54AaABAg","",1,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyhZz-ltbIyCcsm8E54AaABAg","2021-10-27 15:31:26",0,"10000% agree Andy - well said!! The only one who profits from this is the consultant who dreamed up this asinine idea in the first place, and the people who market it...","http://www.youtube.com/channel/UC-sE0c5AI9zoTwDJWfmRAeA",
41,"Christian Unruh","So he quotes Klaus Schwab Who said we can’t be driven by short term profits - SHORT TERM, the speaker even highlights this. Then his first example is Tesla and Elon Musk that did the opposite. They built a conscious company that didn’t turn a profit until 2021. It’s literally the worst example he could choose. 2021 is also the first year Netflix stopped adding massive debt by borrowing. These are NOT companies driven by a short term profit horizon.","UgyIxXOxX4YjCWcS7xB4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyIxXOxX4YjCWcS7xB4AaABAg","2021-10-27 13:10:09",0,"So he quotes Klaus Schwab Who said we can’t be driven by short term profits - SHORT TERM, the speaker even highlights this. Then his first example is Tesla and Elon Musk that did the opposite. They built a conscious company that didn’t turn a profit until 2021. It’s literally the worst example he could choose. 2021 is also the first year Netflix stopped adding massive debt by borrowing. These are NOT companies driven by a short term profit horizon.","http://www.youtube.com/channel/UCvWzx6WrqyXRT24BPhslpIg",
42,"Gabriel PdeL","USA; Welcome to Cuban and Venezuelan lifestyle.","Ugy3iGtMtUnzEXrbzxZ4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugy3iGtMtUnzEXrbzxZ4AaABAg","2021-10-27 13:04:18",0,"USA; Welcome to Cuban and Venezuelan lifestyle.","http://www.youtube.com/channel/UCxExoND7G8hde1D4BMrAFxA",
43,"Alex Hernandez","Statistics and studies show that ESG is a superior concept. So this video is a moot concept. Most companies that refuse to abide under concepts of ESG tend to have large losses in revenue, thus showing that striving for profit requires a business to function under ESG. 🤷‍♂️","UgzyEjNKj9QRbpxcRfp4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzyEjNKj9QRbpxcRfp4AaABAg","2021-10-27 12:57:40",0,"Statistics and studies show that ESG is a superior concept. So this video is a moot concept. Most companies that refuse to abide under concepts of ESG tend to have large losses in revenue, thus showing that striving for profit requires a business to function under ESG. 🤷‍♂️","http://www.youtube.com/channel/UCUkwVhx5_Q40SAA6W9OsnqA",
44,"Jeff Otieno","ESG exists precisely to remove the profit motive - which drives people to make personal decisions they want the government to make decisions on your behalf, and give you money, goods, and services if you are compliant","UgxZMQas8gMn52jQ4fh4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxZMQas8gMn52jQ4fh4AaABAg","2021-10-27 11:00:03",0,"ESG exists precisely to remove the profit motive - which drives people to make personal decisions they want the government to make decisions on your behalf, and give you money, goods, and services if you are compliant","http://www.youtube.com/channel/UC4RA3yHiXaya-Thrzv2IIsA",
45,"Darren O","ESG will always lead to been broke, but this is a bit one sided on capitalism. Ask yourself this one question, you have just been diagnosed with a rare illness, and the company that produces the drug has just been bought out by a hedge fund, now instead of $1 a pill they are charging $300 per pill. or take oil companies that destroyed the environment in Africa, because the government in that country was corrupt, or how about the arms deals between the UK and Saudi in which the SFO was investigating but got shutdown due to political pressure. Capitalism is not perfect but it is better than ESG, but be honest and stop the sugar coating, or vids like this will end up building up ESG rather than stopping it.","Ugzms71Uc_9RwoqaYMN4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzms71Uc_9RwoqaYMN4AaABAg","2021-10-27 10:59:12",0,"ESG will always lead to been broke, but this is a bit one sided on capitalism. Ask yourself this one question, you have just been diagnosed with a rare illness, and the company that produces the drug has just been bought out by a hedge fund, now instead of $1 a pill they are charging $300 per pill. or take oil companies that destroyed the environment in Africa, because the government in that country was corrupt, or how about the arms deals between the UK and Saudi in which the SFO was investigating but got shutdown due to political pressure. Capitalism is not perfect but it is better than ESG, but be honest and stop the sugar coating, or vids like this will end up building up ESG rather than stopping it.","http://www.youtube.com/channel/UCrc1JJOrOWXuy-vR1maFiEA",
46,"Mirrius Rusticulus","While I agree ESG might be shit, defending capitalism with arguments that companies must care for their workers for them to not leave for competition is wrong. It takes majority of companies to pay minimum wage and treat their employees like shit and they will have nowhere else to go, since minority of decend companies are already fully staffed.","UgwLAzBH9XGUnCa0tIJ4AaABAg","",1,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwLAzBH9XGUnCa0tIJ4AaABAg","2021-10-27 10:51:15",0,"While I agree ESG might be shit, defending capitalism with arguments that companies must care for their workers for them to not leave for competition is wrong. It takes majority of companies to pay minimum wage and treat their employees like shit and they will have nowhere else to go, since minority of decend companies are already fully staffed.","http://www.youtube.com/channel/UCjyrHmxszWKJOJLbVXGOj1A",
47,"marcel peres","Im so grateful to find this channel when I was 17, with 24 now, I don\'t have the words to express how greatiful Iam, many thanks to good intended real people at PragerU","Ugxbo9q8I9hRqcKx84B4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugxbo9q8I9hRqcKx84B4AaABAg","2021-10-27 09:31:50",0,"Im so grateful to find this channel when I was 17, with 24 now, I don\'t have the words to express how greatiful Iam, many thanks to good intended real people at PragerU","http://www.youtube.com/channel/UClt8jXBUBntfisWnb88XIBw",
